,rc_num,rc_name,rc_view,rc_rec,rc_scrap,rc_type,rc_sit,rc_sort,rc_nick,rc_info,rc_ing,rc_diff,rc_time,rc_src
4833,6832739,깍두기,87229.0,98.0,3053.0,절임,일상,채소류,김치/젓갈/장류,혼밥의 요정 저는 혼밥을 즐깁니다 집에 김치가 다 떨어져가서 정말 간단하게 만들수있는 깍두기 만들어봤어요^^ 새우젓을 넣으면 시원하게 먹을수가있죠,[재료] 무 큰것 1개| 굵은 소금 2큰술 [양념] 새우젓 1ts| 고춧가루 5큰술| 매실엑기스 (생략 가능) 1큰술| 멸치액젓 1큰술| 다진 마늘 1큰술| 깨 적당히,아무나,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/24/3f9438b8156b83384aca28be802c95bc1_m.jpg
4834,6832742,중국식볶음밥,9111.0,8.0,441.0,볶음,일상,해물류,밥/죽/떡,이 레시피는 내가 요리의 '요'자도 모르는 시절부터 거의 10년간 우려먹고 있는 중국식 볶음밥 레시피.  그때그때 기분에 따라  혹은 냉장고에 있는 재료에 따라 내용물은 조금씩 달라지긴 하지만  그래도 기본적인 양념의 비율은 오랫동안 지켜지고 있는 레시피 되겠다.  해물이 없으면 계란만 넣고 만들어도 맛있고 밥만 있으면 5분 만에도 휘딱휘딱 만들 수 있으니  가끔 해 먹기 딱 좋은 볶음밥. ,[재료] 쌀밥 1컵(240ml 계량컵 기준)| 계란 1개| 다진 양파 3-4T| 다진 당근 1T| 다진 파 1T| 다진 마늘 1/2T| 청주 1T| 고추기름 1T(옵션)| 참기름 1T| 좋아하는 해물 1줌| 후추 적당히 [양념] 간장 1T| 굴소스 1/2T| 설탕 1/4t| 생강가루 2-3꼬집(옵션),초급,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/222d8141a77630293a1eda1b9228e0261_m.jpg
4874,6832944,콩나물볶음밥,10611.0,33.0,450.0,볶음,일상,쌀,밥/죽/떡,백종원 아저씨꺼 요리입니다 ㅋㅋ  요즘 이 아재한테 푹~~~ 빠져 있네요   얼마전에 방송?던 콩나물 요리중에 진짜 쉬운거인 볶음밥을 해봤어요,[재료] 콩나물| 당근| 파| 다진마늘| 달걀 [양념] 고추장 1T| 고추가루 1T| 맛술 1T| 간장 1T| 설탕 1T| 다진마늘 1T,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/28/b64dfe4fb302623d21501b97f7fff0051_m.jpg
4919,6833057,또띠아토스트,112015.0,100.0,5456.0,굽기,일상,밀가루,빵,집에서 간단한 브런치메뉴로 드시기도 좋구  아침대용으로 드셔도 좋을듯해요. 백종원 또띠아토스트로 알려진 메뉴  또띠아토스트. 기대이상의 맛. 최고다 너.,[재료] 또띠아 1장| 계란 2개| 베이컨 70g(2장 정도)| 양파 1/4개| 체다슬라이스치즈 1장| 파슬리가루| 설탕 1t스푼,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/31/9784ec294a256a56fe581420a54cd4131_m.jpg
4922,6833065,해물덮밥,13079.0,15.0,494.0,볶음,초스피드,해물류,밥/죽/떡,건고추를 넣어 살짝 매콤함이 전체적으로 감돌고  양배추를 넉넉히 넣었더니 단맛을 따로 넣지 않았는데도 소스맛이 달큰하답니다. 간편한 해물덮밥을 만들어봐요.,[재료] 밥 1공기| 모둠해물 1공기| 애호박| 당근| 양파| 양배추| 대파| 마늘| 건고추| 물 1~2컵| 녹말물 [양념] 굴소스 2큰술| 간장 1큰술| 맛술| 소금 조금| 후추| 참기름,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/31/034d36ac84a36a5a9ad6883aaf3aea041_m.jpg
4954,6833197,치킨가라아게,21946.0,25.0,919.0,튀김,술안주,닭고기,메인반찬,짭쪼롬한 가라아게에 시원한 맥주한잔으로 남은 여름 시원하게 보내요 :),[재료] 닭다리살 350g| 전분가루 2Ts| 밀가루 2Ts [양념] 간장 1스푼| 후추 조금| 생강가루 1스푼| 다진마늘 1스푼| 미림 1스푼,중급,90분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/31/0e0d3ab0659db18e21445198b7ebaf761_m.jpg
4963,6833257,두유파스타,13409.0,43.0,665.0,볶음,다이어트,밀가루,면/만두,두유를 이용해서 저염식 파스타를 만들었어요! 평소 짠 맛을 좋아해서 심심할까봐 청양고추를 넣어봤는데 입에 착착 감기는 맛이예용!! 칼로리 약 445kcal에 저염식 파스타입니다^^,[재료] 통밀 스파게티면 60g| 양파 1/4| 마늘 1쪽| 베이컨 2줄| 버섯 150g| 브로콜리 50g| 청양고추 1개 [소스] 두유 95ml| 파마산치즈 15g| 후추 조금| 매실액 0.5T,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/85b658a9fa1904727188ea396a3014d21_m.jpg
5026,6833522,달걀덮밥,4203.0,8.0,149.0,볶음,일상,달걀/유제품,밥/죽/떡,요즘 대세인 백주부의 집밥  국민 반찬 달걀로 만든 요리를 방송했습니다. 누구나 잘 먹어주고  어느 집 냉장고에 다 들어있는 달걀입니다. 백주부의 한 그릇 요리로 쉽게 만들어 먹을 수 있는 달걀덮밥입니다.,[재료] 밥 1공기| 달걀 3개| 김가루 약간| 대파 1개 [양념] 깨소금 조금| 만능간장(또는 일반간장) 1/2소주컵| 식용유 1/2소주컵,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/07/d7074261af5a08e226df4b26a463ee811_m.jpg
5034,6833572,양배추햄덮밥,30970.0,62.0,1723.0,볶음,일상,채소류,밥/죽/떡,다양한 덮밥이 있지만 최근 가장 맛나게 해먹은 양배추햄덮밥~! 이거 보기보다 무지 맛있답니다. 정말 술술 그냥 술술 들어갑니다.,[재료] 양배추 200g| 양파 1/2개| 당근 30g| 대파 초록부분 약간| 우유리챔 1/2캔(1캔 200g)| 청양고추 1개 [녹말물 재료] 녹말가루 1큰술| 물 2큰술 [양념] 올리브오일 1큰술| 다진마늘 1큰술| 굴소스 2큰술| 맛술 1큰술| 물 1컵| 참기름 1큰술| 통깨 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/04/3fafb9a820df2631c01a4cae1a273c501_m.jpg
5037,6833580,도시락,34365.0,72.0,1402.0,부침,도시락,가공식품류,기타,초간단한 식사 혹은 도시락이 가능한 스팸깻잎쌈밥,[재료] 스팸(깡통햄) 1/2통| 깻잎(크기에따라 다름) 1묶음| 즉석밥 혹은 집밥 2공기 [양념] 진간장 1~2T| 참기름 1T| 깨 1T,초급,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/04/fdbd834f19db09e1d53068e2e573ee571_m.jpg
5039,6833589,라면,88368.0,84.0,5507.0,끓이기,일상,가공식품류,면/만두,심야식당에 나온 굴소스마요라면이 맛있어보여 생각나는 대로 간단하게 만들어 봤어요,[재료] 라면 1인분| 파 약간| 청양고추 1개 [양념] 라면수프 1/2개| 굴소스 2T| 버터 약간| 마요네즈 취향껏,아무나,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/b98477372aecbc4b37a7ff6e489f76a81_m.jpg
5054,6833629,삼색소보로덮밥,24280.0,36.0,1089.0,볶음,일상,돼지고기,밥/죽/떡,우리가 흔히 알고있는 '소보로빵  소보루빵'. 그 '소보로'도 이 일본어 소보로(そぼろ)랍니다.   일본어로 생선·고기 등을 으깨어 양념해서 지져낸 오보로(おぼろ)에서 소보로(そぼろ)의 어원을 찾을 수 있어요.  소보로를 밥 위에 올려 맛있게 먹는 일본 가정식  소보로덮밥!!  만들기 쉽고  맛은 좋고  보기에는 이쁘고. 너무 멋진 메뉴랍니다!!  지금 당장 만들어볼까요?? yeah~~~!!,[재료] 다진돼지고기 1/3밥공기 정도| 쪽파 4줄| 계란 2개 [양념] 간장 2T| 설탕 1T| 청주 3T| 물 2T| 소금 약간| 생강가루 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/e6964636e49809344eb15738b270dbbc1_m.jpg
5057,6833634,굴소스야채볶음라면,32805.0,36.0,1422.0,볶음,일상,가공식품류,면/만두,칼로리 높은 라면을 좀 더 맛있게 먹을 수 있는 방법으로 다양한 야채를 넣고~ 굴소스에 살짝 볶아보았어요~ 끓이는게 아닌 볶음라면!! 더 맛있게 먹을 수가 있답니다.,[재료] 라면 1개| 양배추| 당근| 양파| 햄| 청양고추| 계란 1개 [양념] 다진마늘 1스푼| 굴소스 1+1/2스푼| 참기름| 깨,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/8b23541a8e61f1b005ae29fa32903b071_m.jpg
5058,6833641,연두부덮밥,9812.0,13.0,387.0,비빔,초스피드,콩/견과류,밥/죽/떡,연두부덮밥으로 건강하게 단백질섭취해봅시다~(?∇?)/,[재료] 연두부 1개| 계란노른자 1개| 돼지고기 1/3밥공기양| 가쓰오부시 1줌 [양념] 들기름 1T| 간장(돼지고기양념용) 2T| 설탕(돼지고기양념용) 1T| 청주(돼지고기양념용) 3T| 물(돼지고기양념용) 2T,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/05/126a5ae6f856f9371a4ac2dfff489f0a1_m.jpg
5081,6833811,돈부리,11664.0,57.0,543.0,조림,초스피드,가공식품류,밥/죽/떡,반찬이 필요없이 빠르게 조리해서 먹을 수 있는 리챔요리,[재료] 리챔 1개| 양파 1/2개| 계란 1개| 버터 약간 [양념] 간장 1T| 설탕 1/2T| 파 적당히| 파슬리가루 적당히,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/07/49a650afecab7f1872104fd5e5c180651_m.jpg
5098,6833897,바나나팬케이크,135318.0,286.0,8634.0,굽기,다이어트,달걀/유제품,빵,다이어트 대표 식품인 바나나와 달걀로 만든 팬케이크예요. 밀가루가 들어가지 않아서 밀가루 섭취를 못하시는 분들이나 다이어트 하시는 분들에게 좋아요.,[재료] 바나나 1개| 달걀 1개 [양념] 시럽 적당량,아무나,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/08/eb9a1e77ad94fa38a4dfbabdaf37dde81_m.jpg
5107,6833929,명란젓스파게티,24390.0,19.0,833.0,볶음,영양식,밀가루,면/만두,젓갈종류 중 비싸지만 그 맛에 한번 빠지면 헤어나오지 못한다는 명란젓!! 그냥 먹어도 맛나고~ 양념을 해서 먹어도 맛나고~ 찜이나 국 등 다양한 재료에 어울리는데요..완전 고급스럽게 스파게티에도 넣어서 밖에서 파는거보다 더 맛나게 만들어보았어요~ 이건 그냥 대박이네요^^,[재료] 스파게티 1인분| 명란젓 2개| 통마늘 7개| 양파 1/4조각| 청양고추 1개| 불고추 3개| 식용유 3스푼,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/09/fddc2f1b10567db245ee55dd75525fc81_m.jpg
5113,6833978,콩나물볶음밥,173363.0,132.0,10273.0,볶음,일상,채소류,밥/죽/떡,쉽고 맛있는 백선생님 레시피 ! 닭갈비  곱창 등 먹고난뒤 볶아먹는 볶음밥 느낌도 나고 맛나더라구요 ~  아삭아삭 씹히는 콩나물이 짱짱 !,[재료] 콩나물 1줌| 대파 1대| 다진햄| 다진야채(기호껏)| 밥 1공기| 계란 1알| 김가루 약간 [양념] 고추장 1숟갈| 고춧가루 1숟갈| 간장 1숟갈| 설탕 0.5숟갈| 맛술 1숟갈| 다진마늘 1숟갈,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/09/9a0538a5008e9a59278fa0ffa5fdb0201_m.jpg
5136,6834038,구운가지무침,23352.0,44.0,1196.0,무침,일상,채소류,밑반찬,구운가지무침,[재료] 가지 1개 [양념] 고춧가루 1T| 간장 1/2T| 설탕| 마늘| 파 약간| 참기름 1/2T,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/10/08a3c89f845371286abfca65547986e71_m.jpg
5151,6834113,간장파스타,288386.0,295.0,21949.0,볶음,일상,가공식품류,면/만두,아시는분은 아실수도 있는 레시피지만~? 한번해드시면 계속해서먹게되는 중독성 강한 간장파스타랍니다.,[재료] 파스타면 1인분(1인분 500원동전만큼)| 양파 1/2개| 베이컨 70g| 마늘 2쪽| 청양고추 3개| 올리브유(또는식용유) 조금 [양념] 간장 2T| 참기름 1T| 설탕 1T,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/11/8e3599561387b3bdafb9e99864cc4df01_m.jpg
5164,6834197,베이컨치즈말이,22713.0,81.0,949.0,굽기,초스피드,가공식품류,밑반찬,베이컨과 체다치즈만을 이용하여 정말 초간단 한끼요리를 만들어볼께요 :),[재료] 긴 베이컨 5장| 체다치즈 4장| 햇반 또는 공기밥 1공기 [양념] 참기름 약간| 후추 약간,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/12/fa2eeca59df828e98f34f5b495e895801_m.jpg
5202,6834258,연두부,121793.0,240.0,10186.0,기타,초스피드,콩/견과류,밑반찬,초보 집밥요리  초간단 초스피드 연두부반찬 만들기입니다.,[재료] 연두부 [양념장] 다진파| 다진 청양고추| 다진 마늘| 간장 1~2스푼| 고춧가루 조금| 깨소금 조금| 참기름,아무나,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/13/1a2d27dc33295f34df4e4bed6e6ed3ac1_m.jpg
5213,6834286,마늘볶음밥,23923.0,95.0,1056.0,볶음,초스피드,채소류,밥/죽/떡,간단한 한 끼 식사로 해결할 수 있는 볶음밥!! 마늘을 넣어서 볶았더니 매운맛은 사라지고 단맛만 남아서 씹을수록 고소하고 끝맛도 깔끔한 볶음밥이 완성되었답니다.,[재료] 밥 1공기| 통마늘 10개| 양파1/4조각| 노란파프리카| 빨간파프리카| 계란 1개| 참기름| 깨 [양념] 굴소스 1스푼,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/13/e76372b9ad2d0d4a32fd4e43993fb0981_m.jpg
5240,6834448,소세지,14587.0,49.0,604.0,굽기,일상,가공식품류,양식,안녕하세요 만개의레시피 회원여러분? 소통하는 토론토니안 블로거 대니얼이 인사드립니다 :) 시원한 맥주에 곁들이는 안주로 여러분은 어떤 메뉴를 꼽으시나요? 정말 다양한 메뉴들이 있지만 오늘은 집에서 만들기 쉬우면서  만족도도 높은 메뉴인 소세를 사용해서 먹음직한 치즈누룽지 소세지를 만들어볼거에요. 모짜렐라치즈를 철판에 얹어 노릇해 지도록 구운 다음 소세지를 함께 소스와 곁들여내는 맥주와 찰떡궁합인 메뉴랍니다!,[재료] 자세한 재료는 본문내용에서| 확인 해 보실 수 있습니다.,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/16/254e9e9d3b827b94f74667a9f6f28f8c1_m.jpg
5241,6834449,밥고로케,23981.0,23.0,1081.0,튀김,일상,쌀,빵,오늘은 고민 고민 끝에 밥고로케를 만들어 보려고 해여~ 마침 찬밥 남은것도 있고 볶음밥이야 자주 먹으니 좀 색다르게 먹여보기 위해 간단하지만 손이 좀 가는... 밥고로케를 만들려구여~~~ 채소들이 골고루 들어가 여러가지 반찬 하지 않아도 되고 한입크기로 포크로 찍기만 하면 바삭바삭하니 아이들 유혹하기 딱!!! 먹어라 씹어라 아이들과 씨름하지 않아도 되니~~ 오늘만큼은 밥때문에 받는 스트레스는 無!!!,[재료] 브로콜리| 호박| 파프리카| 양송이버섯| 모짜렐라치즈| 찬밥| 밀가루| 계란| 빵가루| 케찹,중급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/16/ccd6d43d4db7ab72eea2d85178ce6fa41_m.jpg
5250,6834492,오징어볶음우동,17413.0,32.0,785.0,볶음,일상,가공식품류,면/만두,굴소스로 양념해 짭쪼름한 오징어볶음우동 만들었어요.,[재료] 우동면| 오징어| 다진마늘| 양파| 양배추| 대파| 후춧가루 약간 [양념] 간장 1t| 올리고당 1T| 굴소스 1t,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/17/c074339c22b4bd7f455654d185d4bee51_m.jpg
5255,6834524,양송이버섯,37498.0,46.0,2224.0,굽기,손님접대,버섯류,디저트,집들이 음식에도 좋은 간단술안주~ 양송이버섯요리입니다.,[재료] 양송이버섯 6개이상| 참치캔 1/2개 [양념] 마요네즈 1큰술| 굴소스 1/4큰술| 파슬리가루| 피자치즈,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/16/4c0a8b617a2f1ef21826bb7300e0aac31_m.jpg
5277,6834683,두부강정,53718.0,106.0,3117.0,튀김,술안주,콩/견과류,메인반찬,한맺힌 두부강정 (´?ω?`)... 직원식당에 매번 두부강정이 나올 때면  4~5개 밖에 안주더라구요? 더 먹고 싶은데~(?ω?`)  아쉬운 마음 달래려 두부강정 만들었어요.  매콤달콤 두부강정!! 닭껍질  닭기름 있는 닭강정과는 달리 두부로 만든 두부강정은 담백한 매력이 있답니다.(º?º?)  지금 같이 만들어보실까요??  우선 두부 준비해주시구요~~ 시이~작!! (o^^o)♪ ,[재료] 두부 1/2모| 대파 약간| 생강 약간 [양념] 고추장 0.5T| 케첩 2T| 간장 1T| 굴소스 1t| 올리고당 1.5T| 설탕 1t| 참기름 0.5T| 청주 1T| 식용유 0.5C,중급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/18/ceda4da617f2f24736636fed6054c5091_m.jpg
5280,6834695,브로컬리새우볶음,75420.0,125.0,4140.0,볶음,일상,채소류,밑반찬,기분 좋은 하루 시작하고 계신가요? 캐나다 토론토에서 여러분께 다양한 레시피 포스팅을 전해드리고 있는 블로거 대니얼 입니다 :) 오늘도 행복한 레시피로 알차게 구성되고 있는 다니엘랜드에 방문 해 주신 모든 구독자 분들을 환영합니다! 이번 포스팅에서는 도시락반찬메류로 추천 해 드리고 싶은  브로컬리새우볶음을 완성해볼거에요. 끓는 물에 소금을 넣고 푸릇한 색감을 살려 브로컬리를 데쳐내고  간단히 강불에서 굴소스에 새우와 볶아내는 매우 심플한 과정의 반찬메뉴랍니다.,[재료] 자세한 재료는 본문내용에서| 확인 해 보실 수 있습니다.,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/19/62446541e792c6f0eb81571ba1adeb1c1_m.jpg
5293,6834803,하트김밥,41710.0,100.0,1648.0,부침,도시락,가공식품류,밥/죽/떡,아이에게 재미있는밥 예쁜김밥을 만들어주고 싶엇어요~,[재료] 계란 2개| 햄| 당근| 단무지,중급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/21/6cac138718271e67afee7ed6c3d7309e1_m.jpg
5306,6834928,살치살파채볶음,19432.0,38.0,1036.0,볶음,일상,육류,메인반찬,이번 포스팅에서는  누구나 좋아하는 살치살을 사용해서  간단하고 맛있는 고기요리 레시피로 함께하려고합니다. 가벼운 시즈닝 만으로도 깊은 소고기의 맛을 느낄 수 있는 부위에요. 오늘은 파채를 곁들여서  더욱 깔끔하게 완성 해 볼게요.,[재료] 자세한 재료는 본문내용에서| 확인 해 보실 수 있습니다.,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/23/fae52013256b585f010a3650938571e81_m.jpg
5349,6835210,토달볶,32237.0,65.0,1247.0,볶음,다이어트,달걀/유제품,디저트,다이어트하면서 많이 먹는 계란과 토마토를 이용하여 뚝딱 쉽게 만들고 맛있게 먹을 수 있는 토달볶 다이어트 식단으로 안성맞춤이랍니다.,[재료] 달걀 1개| 방울토마토 5-7개 [양념] 후춧가루 조금| 기름 조금,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/28/99effb61d785b542caa9f17fefaab9f21_m.jpg
5391,6835531,사과스프,26228.0,39.0,1235.0,끓이기,영양식,과일류,스프,사과는 식이섬유가 많고 다당류 비율이 높아서 다이어트에도 도움이 되며  특히 사과 껍질 안의 퀄세틴이란 성분은 항산화 작용이 뛰어나며 항바이러스  항균 작용에 좋다고 합니다. 그러므로 사과를 매일 하나씩 먹으면 우리 몸에 보약이 따로 없다고 합니다. 그러나 아침에 먹는 사과는 좋지만  저녁에 먹는 사과는 별로 안 좋다고 하니 유념하세요. 오늘은 사과를 이용하여 고급진 맛의 사과 스프를 만들어 보겠습니다.,[재료] 사과 1개| 양파 2/3개| 우유 1컵| 생크림 1컵 [양념] 계피가루 1티스푼| 파슬리 약간| 소금 1티스푼,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/04/6862a743ecf487aa7be38316b053d4ff1_m.jpg
5424,6835859,맥나잇,8955.0,21.0,335.0,굽기,간식,밀가루,디저트,꿀호떡 빵먹다가 남으면 뻣뻣해지거나 시간지나서 같은 빵을 먹기가 싫더라고요  막 먹었을때야 꿀이 나오는건데.. 그래서 예전에 티브이에서 나온걸 찾아서 간단히 해먹게 되었죠~ 간식도 추천이지만 한끼식사로 손색없지요 ,[재료] 꿀호떡 2개| 버터 1/2숟가락| 계란 1개| 슬라이드치즈 1장 [양념] 후추 2번 탈탈| 꿀 티스푼 1t,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/08/853f2b87d6d99180bede269b8871252e1_m.jpg
5426,6835876,버섯파니니,15952.0,16.0,640.0,굽기,간식,밀가루,빵,브런치카페에서 비싸게 주고 사먹는 머쉬룸파니니!! 집에서도 충분히 그 맛을 낼 수 있답니다! 우리집을 브런치카페로 만들 수 있는 맛! 버섯파니니 집에서 만들어보아요!,[재료] 치아바타빵 1개| 모짜렐라치즈| 새송이or팽이or느타리버섯 1줌| 양파 1줌 [양념] 굴소스 0.5T| 후추 약간,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/08/c9b5560c0f5e0db9681728b95a5753d71_m.jpg
5437,6835914,닭꼬치,26943.0,45.0,1256.0,굽기,술안주,닭고기,기타,집에 있는 닭가슴살로 간단한 닭꼬치 만들기,[재료] 닭가슴살 1개| 파 1개 [양념] 간장 3| 설탕 3| 물엿 0.5| 물 100ml| 마늘 약간| 파 약간,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/10/3209eef7f6b914313a4d00bf775eb48f1_m.jpg
5445,6835957,닭가슴살유부초밥,73668.0,231.0,3486.0,무침,다이어트,닭고기,밥/죽/떡,다이어트에 단백질섭취가 중요하죠?!  운동하면서 탄수화물은 줄이고 단백질을 섭취해야  몸 속 지방은 에너지로 사용되고 근육은 보호되면서 생성되어서 몸이 건강해지니깐요.  퍽퍽해서 먹기 힘든 닭가슴살!  새콤달콤하고 칼로리 낮게 맛있게 먹어볼까요~(? °Θ°)?,[재료] 닭가슴살 200g| 유부피 16개| 당근 1/4개| 양상추 2장 [양념] 유부초밥소스 1봉지| 검정깨 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/11/62abc44d68b6e99914f083cbeb4ff7b61_m.jpg
5470,6836133,초코호두비스코티,8731.0,28.0,385.0,굽기,간식,밀가루,과자,오늘은 맛있는 비스코티 레시피를 들고왔어요~  요 비스코티는 바삭하고 진한맛이 일품이라서 선물하기에도 정말 좋은것같아요~  단순한 초코가아닌 코코아가루를 듬뿍넣고 커피 가루를 첨가해서 풍미가 깊어요!     요즘같은 환절기에 감기로 힘드신 분들은  이 달콤한 비스코티 드시고 이겨내세요!ㅎㅎ  지금 바로 만들러 가봅시다~,[재료] 오일(올리브유 제외) 40g| 백설탕 130g| 중간크기 계란 2개| 박력분 185g| 코코아가루 30g| 곱게 간 인스턴트커피가루 6g| 소금 1g| 베이킹소다 1g| 베이킹파우더 1g [양념] 호두 70g| 계란물 약간(선택),아무나,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/14/d39b560ab0ecf5ded3f6bfdf536d5c231_m.jpg
5559,6836718,오므라이스,341568.0,45.0,18376.0,볶음,일상,쌀,밥/죽/떡,주말되면 점심에 간단하면서도 맛있는거 먹고 싶잖아요~ 이럴때 필요한 건 바로 볶음밥이 아니지 싶어요. 오늘은 간단하면서도 맛있게 만들 수 있는 요리로 선택했는데요. 오므라이스 황금레시피 꿀팁 대박 방출합니다~ !!!,[재료] 계란| 당근| 양파| 감자| 호박| 밥 [소스] 케첩 7큰스푼| 돈까스소스 5큰스푼| 올리고당 2스푼| 물 130ml| 후추| 마요네즈,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/28/7639f6fcecb11f57cb12349217b795631_m.jpg
5583,6836868,마늘토마토볶음밥,27064.0,29.0,1549.0,볶음,일상,채소류,밥/죽/떡,간단하게 먹을 수 있는 마늘토마토볶음밥입니다.,[재료] 마늘 10~12개| 방울토마토 10개| 밥 1공기 [양념] 소금 약간| 굴소스 1큰술| 파슬리가루(생략 가능) 약간| 기름 적당량,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/26/de09acdcf5ad2b12403a2179cba392d51_m.jpg
5636,6837221,콩나물볶음밥,12694.0,46.0,479.0,볶음,초스피드,채소류,밥/죽/떡,백종원 콩나물볶음밥,[재료] 콩나물 1봉지| 파 1대| 계란| 김 [양념] 간장 1| 맛술 1| 다진마늘 1| 고추장 1| 고춧가루 1| 설탕 1,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/30/e8a09c5c61f3bdfcff165933714114211_m.jpg
5670,6837548,허니마들렌,70353.0,39.0,2901.0,굽기,간식,밀가루,빵,달달한 허니 마들렌 만들기입니다,[재료] 박력분 50g| 버터 45g| 설탕 30g| 베이킹파우더 1/2ts| 달걀 1개| 소금 1꼬집| 꿀 20g,중급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/19/e0a20bc2926b400d8c307951904618df1_m.jpg
5673,6837583,해물볶음우동,70980.0,68.0,3542.0,볶음,일상,해물류,면/만두,아이들없이 혼자먹는 점심   아이들이없으니 매콤~하게 만들어 간단하게 해물볶음우동을 만들었어요.. 혼자먹더라도 푸짐하게   영양가있게 잘 챙겨먹자구요^^,[재료] 우동면| 모듬해물| 양배추| 청경채| 양파| 통마늘| 파프리카| 버섯| 참기름 [양념] 고추장 1.5| 고추가루 2| 올리고당 1| 간장 1| 설탕 0.5| 굴소스 1| 다진마늘| 후추,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/05/fd2d009e845a78af8bb316362f9b4cb51_m.jpg
5681,6837634,치즈리조또,10605.0,17.0,409.0,끓이기,이유식,달걀/유제품,밥/죽/떡,토마토와 풍부한 영양의 아기치즈를 활용해 만드는 토마토 치즈 리조또~ 완료기 이유식으로 맛있게 만들어보세요^^,[재료] 토마토홀| 닭가슴살| 양파| 아기치즈 [양념] 소금| 후추,중급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/06/bb186fd58a507f5afcf90ddcbb9469111_m.jpg
5692,6837731,굴소스카레볶음밥,127736.0,82.0,9729.0,끓이기,일상,채소류,밥/죽/떡,집에 있는 재료로 맛난 볶음밥 만들어 볼께요~^^,[재료] 양파 1/2개| 당근 조금| 호박 조금| 청양고추 1개| 햄 조금| 계란 1개 [양념] 굴소스 1숟가락| 카레 1숟가락,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/08/a83aa4ef0018c0b65505410770569e091_m.jpg
